id,domain,original_prompt,enhanced_prompt,rag_used,gender,emotion,num_steps,audio_length_s,poas_score,clap_score,semantic_score,transcript,audio_file
6018dc1c,music,A melancholic jazz piano trio in a dimly lit club,"High quality music, A melancholic jazz piano trio in a dimly lit club, piano playing with rich full tone, relaxed jazz ensemble",True,female,neutral,150,8.0,0.504,0.504,0.0,,outputs\audio\music_rag_on_6018dc1c.wav
1a46d1c5,music,Energetic techno loop with a driving 808 kick,"High quality music, Energetic techno loop with a driving 808 kick, fast electronic dance music, deep booming 808 bass",True,female,neutral,200,8.0,0.4183,0.4183,0.0,,outputs\audio\music_rag_on_1a46d1c5.wav
c0475f90,music,Ambient synthesizer drone slowly evolving,"High quality music, Ambient synthesizer drone slowly evolving, synthesizer producing electronic tones, slow peaceful background music",True,female,neutral,180,8.0,0.3331,0.3331,0.0,,outputs\audio\music_rag_on_c0475f90.wav
30151cc1,music,A cheerful acoustic guitar folk song in an open field,"High quality music, A cheerful acoustic guitar folk song in an open field, acoustic guitar playing, folk music with acoustic instruments",True,female,neutral,160,8.0,0.3573,0.3573,0.0,,outputs\audio\music_rag_on_30151cc1.wav
ecf34ce1,music,A dramatic orchestral swell building to a climax,"High quality music, A dramatic orchestral swell building to a climax, full orchestra",True,female,neutral,200,8.0,0.3278,0.3278,0.0,,outputs\audio\music_rag_on_ecf34ce1.wav
c75cd1e3,music,Soft piano melody over gentle rain in a quiet room,"High quality music, Soft piano melody over gentle rain in a quiet room, piano playing with rich full tone, rain falling steadily",True,female,neutral,150,8.0,0.3547,0.3547,0.0,,outputs\audio\music_rag_on_c75cd1e3.wav
6a72b287,music,A funky bass guitar groove with light percussion,"High quality music, A funky bass guitar groove with light percussion, acoustic guitar playing, bass guitar playing",True,female,neutral,140,8.0,0.6185,0.6185,0.0,,outputs\audio\music_rag_on_6a72b287.wav
e8a5105f,sfx,A heavy wooden door slamming shut in an empty hallway,"Sound effect of A heavy wooden door slamming shut in an empty hallway, door opening or closing",True,female,neutral,120,6.0,0.321,0.321,0.0,,outputs\audio\sfx_rag_on_e8a5105f.wav
6823c6c4,sfx,A large explosion with debris and distant echo,"Sound effect of A large explosion with debris and distant echo, loud explosion with deep rumble",True,female,neutral,200,7.0,0.5635,0.5635,0.0,,outputs\audio\sfx_rag_on_6823c6c4.wav
6c367bfb,sfx,Footsteps walking on gravel at a steady pace,"Sound effect of Footsteps walking on gravel at a steady pace, footsteps walking on a surface",True,female,neutral,100,6.0,0.3984,0.3984,0.0,,outputs\audio\sfx_rag_on_6c367bfb.wav
a3ecf678,sfx,A clock ticking quietly in a silent room,"Sound effect of A clock ticking quietly in a silent room, clock ticking steadily",True,female,neutral,80,5.0,0.0,0.0,0.0,,outputs\audio\sfx_rag_on_a3ecf678.wav
51e4d408,sfx,An engine revving and then fading into the distance,"Sound effect of An engine revving and then fading into the distance, engine running and revving",True,female,neutral,120,6.0,0.2036,0.2036,0.0,,outputs\audio\sfx_rag_on_51e4d408.wav
ca782ea6,sfx,Thunder cracking loudly followed by heavy rain,"Sound effect of Thunder cracking loudly followed by heavy rain, loud thunderclap cracking overhead, rain falling steadily",True,female,neutral,150,7.0,0.4173,0.4173,0.0,,outputs\audio\sfx_rag_on_ca782ea6.wav
9023297c,sfx,Keys jingling and a door handle clicking open,"Sound effect of Keys jingling and a door handle clicking open, door opening or closing, keys jingling and clinking together",True,female,neutral,80,5.0,0.1337,0.1337,0.0,,outputs\audio\sfx_rag_on_9023297c.wav
2ecb568f,sfx,A dog barking repeatedly in an outdoor yard,"Sound effect of A dog barking repeatedly in an outdoor yard, dog barking loudly",True,female,neutral,100,6.0,0.6063,0.6063,0.0,,outputs\audio\sfx_rag_on_2ecb568f.wav
bd09e461,ambient,A quiet forest at dawn with birds and a distant stream,"Ambient sound of A quiet forest at dawn with birds and a distant stream, peaceful forest with birds singing",True,female,neutral,160,8.0,0.2663,0.2663,0.0,,outputs\audio\ambient_rag_on_bd09e461.wav
ff612865,ambient,Heavy rain falling on a rooftop during a thunderstorm,"Ambient sound of Heavy rain falling on a rooftop during a thunderstorm, rain falling steadily",True,female,neutral,180,8.0,0.3326,0.3326,0.0,,outputs\audio\ambient_rag_on_ff612865.wav
e84b1b11,ambient,A busy city intersection with traffic and pedestrians,"Ambient sound of A busy city intersection with traffic and pedestrians, busy road intersection, busy city street with cars and buses passing",True,female,neutral,140,8.0,0.4181,0.4181,0.0,,outputs\audio\ambient_rag_on_e84b1b11.wav
2bf1faf2,ambient,Ocean waves rolling onto a sandy beach on a calm day,"Ambient sound of Ocean waves rolling onto a sandy beach on a calm day, ocean waves crashing on the shore",True,female,neutral,160,8.0,0.436,0.436,0.0,,outputs\audio\ambient_rag_on_2bf1faf2.wav
58973043,ambient,A cosy coffee shop with soft chatter and an espresso machine,"Ambient sound of A cosy coffee shop with soft chatter and an espresso machine, quiet coffee shop",True,female,neutral,140,8.0,0.2858,0.2858,0.0,,outputs\audio\ambient_rag_on_58973043.wav
abbc82ab,ambient,Wind blowing through tall trees in an open countryside,"Ambient sound of Wind blowing through tall trees in an open countryside, strong wind blowing outdoors",True,female,neutral,150,8.0,0.219,0.219,0.0,,outputs\audio\ambient_rag_on_abbc82ab.wav
57e91767,ambient,A crackling fireplace in a quiet living room at night,"Ambient sound of A crackling fireplace in a quiet living room at night, wood crackling in a fireplace",True,female,neutral,130,8.0,0.3068,0.3068,0.0,,outputs\audio\ambient_rag_on_57e91767.wav
ae607883,speech,Welcome to the annual science fair. Please find your seats.,Welcome to the annual science fair. Please find your seats.,True,female,neutral,80,8.0,0.2038,0.2038,0.0,,outputs\audio\speech_rag_on_ae607883.wav
59d3af47,speech,I can't believe what just happened. This is incredible.,I can't believe what just happened. This is incredible.,True,female,excited,80,8.0,0.1326,0.1326,0.0,,outputs\audio\speech_rag_on_59d3af47.wav
a70e533c,speech,The package has been delivered to your front door.,The package has been delivered to your front door.,True,male,calm,80,8.0,0.2071,0.2071,0.0,,outputs\audio\speech_rag_on_a70e533c.wav
a46db35d,speech,Please press one to speak to an operator or two to leave a message.,Please press one to speak to an operator or two to leave a message.,True,female,neutral,80,8.0,0.3671,0.3671,0.0,,outputs\audio\speech_rag_on_a46db35d.wav
6d27524f,speech,The train now arriving at platform four is the delayed service to Manchester.,The train now arriving at platform four is the delayed service to Manchester.,True,male,neutral,80,8.0,0.1405,0.1405,0.0,,outputs\audio\speech_rag_on_6d27524f.wav
2719a599,speech,I'm so sorry to hear that. Are you doing okay?,I'm so sorry to hear that. Are you doing okay?,True,female,sad,80,8.0,0.2138,0.2138,0.0,,outputs\audio\speech_rag_on_2719a599.wav
