id,domain,original_prompt,enhanced_prompt,poas_score,audio_file
1a3a011a,music,Solo violin in a cathedral with long reverberation,"High quality cinematic music, Solo violin in a cathedral with long reverberation, rich stereo mix",0.8599,outputs/audio/music_1a3a011a.wav
40a986ad,music,Aggressive techno beat with distorted bass and risers,"High quality cinematic music, Aggressive techno beat with distorted bass and risers, rich stereo mix",0.6891,outputs/audio/music_40a986ad.wav
a0ad5e63,music,Soft piano lullaby with distant rain ambience,"High quality cinematic music, Soft piano lullaby with distant rain ambience, rich stereo mix",0.6862,outputs/audio/music_a0ad5e63.wav
130b5500,music,Cinematic trailer drums with brass swells,"High quality cinematic music, Cinematic trailer drums with brass swells, rich stereo mix",0.6139,outputs/audio/music_130b5500.wav
62e822dc,music,Lo-fi beat with vinyl crackle and jazz chords,"High quality cinematic music, Lo-fi beat with vinyl crackle and jazz chords, rich stereo mix",0.754,outputs/audio/music_62e822dc.wav
ea118774,ambient,Ocean waves at night with distant foghorn and wind,"Immersive ambient soundscape, wide stereo atmosphere, natural environmental depth, realistic background ambience, Ocean waves at night with distant foghorn and wind",0.7909,outputs/audio/ambient_ea118774.wav
5741c167,ambient,Busy airport lounge with rolling suitcases and muffled announcements,"Immersive ambient soundscape, wide stereo atmosphere, natural environmental depth, realistic background ambience, Busy airport lounge with rolling suitcases and muffled announcements",0.8125,outputs/audio/ambient_5741c167.wav
183f9f46,ambient,Underground subway ambience with echoing footsteps,"Immersive ambient soundscape, wide stereo atmosphere, natural environmental depth, realistic background ambience, Underground subway ambience with echoing footsteps",0.7631,outputs/audio/ambient_183f9f46.wav
67d78bb0,ambient,"Mountain forest with birds, river stream, and leaves","Immersive ambient soundscape, wide stereo atmosphere, natural environmental depth, realistic background ambience, Mountain forest with birds, river stream, and leaves",0.8089,outputs/audio/ambient_67d78bb0.wav
b858e76e,ambient,Hospital ICU room with monitors and faint ventilation,"Immersive ambient soundscape, wide stereo atmosphere, natural environmental depth, realistic background ambience, Hospital ICU room with monitors and faint ventilation",0.8167,outputs/audio/ambient_b858e76e.wav
85c83163,ambient,"A glass bottle falling, bouncing twice, then shattering","Immersive ambient soundscape, wide stereo atmosphere, natural environmental depth, realistic background ambience, A glass bottle falling, bouncing twice, then shattering",0.716,outputs/audio/ambient_85c83163.wav
1b25ed23,sfx,"A glass bottle falling, bouncing twice, then shattering","Realistic sound effect, clean isolated audio, A glass bottle falling, bouncing twice, then shattering",0.6138,outputs/audio/sfx_1b25ed23.wav
7d7a2c88,sfx,"Spaceship engine powering up, launching, fading into distance","Realistic sound effect, clean isolated audio, Spaceship engine powering up, launching, fading into distance",0.7054,outputs/audio/sfx_7d7a2c88.wav
229d4c61,sfx,Sword unsheathing followed by metallic clash,"Realistic sound effect, clean isolated audio, Sword unsheathing followed by metallic clash",0.6015,outputs/audio/sfx_229d4c61.wav
92ab7bba,sfx,"Camera shutter click, flash recharge hum, second click","Realistic sound effect, clean isolated audio, Camera shutter click, flash recharge hum, second click",0.7619,outputs/audio/sfx_92ab7bba.wav
066ae185,sfx,Thunder crack followed by heavy rain onset,"Realistic sound effect, clean isolated audio, Thunder crack followed by heavy rain onset",0.8613,outputs/audio/sfx_066ae185.wav
3797d2c2,speech,The train to Boston departs from platform seven at six forty fix PM.,The train to Boston departs from platform seven at six forty fix PM.,0.8285,outputs/audio/speech_3797d2c2.wav
cd9dfb79,speech,Please remain calm and proceed to the nearest emergency exit.,Please remain calm and proceed to the nearest emergency exit.,0.6948,outputs/audio/speech_cd9dfb79.wav
094a1b39,speech,I never said she stole the money yesterday.,I never said she stole the money yesterday.,0.7985,outputs/audio/speech_094a1b39.wav
2f38c616,speech,Your appointment is scheduled for April twenty first at three thirty P M.,Your appointment is scheduled for April twenty first at three thirty P M.,0.7035,outputs/audio/speech_2f38c616.wav
